brewery_id,brewery_name,no_of_beers,no_of_beerstyles
1,"Plzensky Prazdroj, a. s.",13,4
2,Yellow Rose Brewing Company,8,8
3,Abita Brewing Co.,67,38
4,Allagash Brewing Company,60,17
5,Yakima Brewing Co. / Bert Grant's Ales,16,12
6,Brouwerij Slaghmuylder,11,6
8,Widmer Brothers Brewing Company,76,37
9,Whitbread PLC,12,9
10,Whim Ales,4,4
11,North East Brewing Company,18,16
13,Commonwealth Fish & Beer Company,13,10
14,Cambridge Brewing Company,140,49
15,Rock Bottom Restaurant and Brewery,6,6
18,Freeminer Brewery Ltd.,15,6
20,Wachusett Brewing Company,18,16
21,Union Export Brewery,1,1
22,Unibroue,43,11
23,Twisted Pine Brewing Company,37,20
24,Traquair House Brewery Lld,9,3
25,Tollemache & Cobbold Brewery Ltd,1,1
26,Three Floyds Brewing Co. & Brewpub,133,57
27,,4,4
28,Anchor Brewing Company,34,10
29,Anheuser-Busch,109,33
30,Avery Brewing Company,109,42
31,Brauerei Pinkus Mueller,8,6
32,Brauerei Beck & Co.,13,8
33,Berkshire Brewing Company Inc.,53,27
35,Boston Beer Company (Samuel Adams),133,57
36,Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),11,7
37,Brasserie d'Orval S.A.,2,1
39,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,16,13
40,König-Brauerei GmbH,1,1
41,Brouwerij Corsendonk,8,5
42,Brewery Ommegang,42,21
45,Brooklyn Brewery,85,45
46,Broughton Ales Ltd,18,9
47,Brouwerij Boon,21,6
48,Brouwerij Van Steenberge N.V.,72,21
52,Buzzards Bay Brewing,42,28
53,Tennent Caledonian Breweries,9,4
54,Castle Springs Brewing Company,4,4
56,Celis Brewery Inc.,5,4
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",37,13
58,Compania Cervecera Del Sur Del Peru S.A. (Cervesur),5,3
59,Concord Brewery,9,8
60,Cooperstown Brewing Company,7,7
61,Cottrell Brewing Co.,3,2
62,D.L. Geary Brewing Company,20,15
63,Deschutes Brewery,138,44
65,Dornbusch Brewing Company,5,5
66,Einbecker Brauhaus AG,10,7
67,Eumundi Brewing Group LTD.,4,3
68,Flying Dog Brewery,42,29
69,"Wild Goose Brewery, LLC",24,18
71,Fuller Smith & Turner PLC,29,13
72,Weisses Bräuhaus G. Schneider & Sohn GmbH,13,5
73,Great Lakes Brewing Company,75,47
74,Gritty McDuff's Brewing Company,28,19
75,Grupo Modelo S.A. de C.V.,13,5
76,Hacker-Pschorr Bräu GmbH,16,11
77,Hammer & Nail Brewers,7,7
80,Strathaven Ales,4,4
81,Heineken Nederland B.V.,15,10
83,Brouwerij van Hoegaarden,9,5
84,Hofbräu Kaltenhausen (Brau Union),6,5
85,Pioneer Brewing Co.,25,17
88,James Page Brewing Company,9,9
90,King & Barnes Ltd.,6,4
91,United Breweries - UB Group,16,4
92,Cerveceria La Constancia S.A. / BevCo Ltd,25,4
94,Long Trail Brewing Co.,24,17
95,Löwenbräu AG,9,8
96,Magic Hat Brewing Company,87,43
97,Maritime Beer Company Inc.,2,2
99,Matt Brewing Company,70,44
100,McNeill's Brewery,43,30
101,Melbourn Bros.,3,1
103,"Middle Ages Brewing Co., Ltd.",39,26
104,The Brewery Exchange,8,7
105,Miller Brewing Co.,35,9
106,JOS. Schlitz Brewing Co. (Pabst),9,3
107,Millstream Brewing Company,20,17
109,Moorhouse's Brewery (Burnley) Ltd,12,8
112,North Coast Brewing Co.,30,16
113,Samuel Smith Old Brewery (Tadcaster),24,15
115,"Old Nutfield Brewing Company, Ltd.",10,6
116,Old Saddleback Brewing Company,2,2
118,Orkney Brewery,9,6
119,Otter Creek Brewing / Wolaver's,65,34
120,Paderborner Isenbeck Brauerei Haus Cramer GmbH & Co. KG,5,4
122,Panther Brewing Company,3,2
123,"Paper City Brewery Co., Inc.",37,28
124,Paulaner Brauerei GmbH & Co. KG,21,12
125,Pennsylvania Brewing Company,26,20
126,Pete's Brewing Company,14,12
127,Portland Brewing Company,51,23
128,Privatbrauerei Franz Joseph Sailer,6,6
129,Brauerei Tucher Brau,21,11
130,Boulder Beer / Wilderness Pub,49,24
131,Rocky Bay Brewing Company,10,9
132,Rogue Ales,133,47
134,Brasserie Piedboeuf,9,4
136,Utah Brewers Cooperative,52,31
137,Sea Dog Brewing Company,21,16
138,Shepherd Neame Ltd,47,11
139,Shipyard Brewing Co.,42,19
140,Sierra Nevada Brewing Co.,140,51
141,Smuttynose Brewing Company,62,37
142,Spaten-Franziskaner-Bräu,11,11
143,Spoetzl Brewery,26,20
144,Sprecher Brewing Company,39,31
145,Spring Street Brewing Company,1,1
146,St. Stan's Brewing Co.,14,11
147,Stone Brewing Co.,134,30
148,Belhaven Brewery Company Ltd.,24,12
149,Brasserie Lefèbvre SA,34,14
150,"Lion Brewery, Inc.",48,24
152,Young & Co Brewery PLC,17,10
154,"Tremont Brewery / Atlantic Coast Brewing, Ltd.",3,3
155,Upper Canada Brewing Company,12,9
156,Tommyknocker Brewery,32,25
157,Stone City Brewing,7,7
158,Great Divide Brewing Company,58,30
159,Burton Bridge Brewery,22,9
160,Wychwood Brewery Company Ltd,41,10
161,Florida Beer Company,35,20
162,Ipswich Ale Brewery,35,22
163,Amstel Brouwerij B. V.,11,9
164,Harvey & Son Ltd.,30,16
165,Beacon Hotel (Sarah Hughes Brewery),1,1
166,Palm Springs Brewery Inc.,2,2
167,Brewery Lobkowicz,8,4
168,"M&#283;&#357;anský Pivovar Havlí&#269;k&#367;v Brod, A.S.",7,3
169,Stella Artois,23,11
170,Stone Coast Brewing Co.,15,12
172,Brauerei C. & A. Veltins GmbH & Co.,1,1
173,Hair of the Dog Brewing Company / Brewery and Tasting Room,32,13
174,Latrobe Brewing Co.,7,6
176,Würzburger Hofbräu AG,14,11
178,J.W. Lees & Co (Brewers) Ltd,23,9
179,Snake River Brewing Company & Brewpub,37,31
180,Brouwerij Huyghe,75,16
181,George Gale & Company Ltd,20,7
183,Brouwerij Sterkens N.V.,17,6
184,Bierbrouwerij De Koningshoeven B.V.,13,7
185,Aass Brewery,10,8
187,Brouwerij Lindemans,16,4
188,The Caledonian Brewing Company,34,11
189,Delta Beverages,3,1
190,Brouwerij De Troch,15,4
192,New Belgium Brewing,94,32
193,Anderson Valley Brewing Company,35,23
194,McAuslan Brewing,20,11
195,Brouwerij De Musketiers,7,4
196,Brouwerij De Smedt / Brouwerij Affligem,23,9
197,Brasserie Fischer / Fischer Biere d' Alsace,18,9
198,De Ridder Brewery,3,3
199,Ballast Point Brewing Company,81,30
200,Mendocino Brewing Company,33,22
201,Brouwerij De Dolle Brouwers,28,8
202,Brouwerij Bosteels,4,4
203,Greene King / Morland Brewery,48,12
204,Tempo Beer Industries LTD,5,5
205,Buffalo Bill's Brewery,12,11
206,Hook & Ladder Brewing Company (No. 2),8,8
207,Brasserie de Rochefort,3,3
208,Brouwerij Westmalle,3,3
209,Guinness Ltd.,27,9
210,Maplewood Farms Restaurant & Brewery,20,18
211,Watch City Brewing Co.,107,51
212,Brouwerij Van Honsebrouck N.V.,28,12
213,Narragansett Brewing Co.,8,8
214,Brouwerij De Gouden Boom,5,4
215,Bières de Chimay S.A.,4,4
216,Brouwerij Rodenbach N.V.,10,2
217,Brouwerij Riva S.A.,7,6
218,Brouwerij De Koninck NV,14,8
219,Sudwerk Restaurant and Brewery,21,14
220,Lagunitas Brewing Company,92,31
221,Desnoes & Geddes Limited,8,4
222,Brouwerij Duvel Moortgat NV,12,8
223,Brouwerij Bockor N.V.,13,8
224,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,4,3
225,Amherst Brewing Co.,41,27
226,Nashoba Valley Winery,23,18
227,Rock Bottom Restaurant & Brewery,23,18
228,Z Street Brewing Company,13,13
230,Barrington Brewery & Restaurant,20,17
231,The People's Pint,32,21
233,Sherwood Forest Brewers Ltd.,5,5
234,Owen O'Leary's,7,6
235,Northampton Brewery,46,32
236,Offshore Ale Company,47,30
237,Quincy Ships Brewing Company,10,10
240,Murphy Brewery Ireland Limited,2,2
252,Bayerische Staatsbrauerei Weihenstephan,15,10
253,Casco Bay Brewing Co.,13,9
254,Oak Pond Brewing Company,8,7
255,SLO Brewing Company,16,12
256,Lost Coast Brewery and Cafe,36,23
257,Steel Brewing Company,2,1
258,Birra Peroni Industriale S.p.A.,6,1
259,Brouwerij St. Bernardus NV,14,7
260,Brasserie De Saint-Sylvestre,9,3
261,Cisco Brewers Inc.,37,19
262,Shmaltz Brewing Company,43,15
263,Brauerei Heller-Trum / Schlenkerla,8,3
264,Oy Sinebrychoff Ab,20,10
266,Mad River Brewing Company,26,18
267,Odell Brewing Company,98,44
268,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,9,7
269,Ceres Brewery (Royal Unibrew),12,7
270,Virgin Islands Brewing Co.,4,4
272,Carib Brewery Limited,13,6
273,SweetWater Brewing Company,59,27
281,"Tsingtao Brewery Co., Ltd.",13,8
282,Salopian Brewing Company Ltd,11,6
283,Brouwerij Liefmans,21,5
284,Sapporo Breweries Ltd.,38,14
285,Brauerei Schloss Eggenberg,14,9
286,Hampshire Brewery Ltd,14,9
287,"Bell's Brewery, Inc.",121,40
288,Brauerei Heinrich Reissdorf,1,1
289,Saint Ides Brewing Company,1,1
290,Binding-Brauerei AG,18,9
292,"Kirin Brewery Company, Limited",54,19
293,Bass Brewers Limited,14,4
294,Cropton Brewery,17,10
295,St. Georgenbräu,10,9
296,St. Peter's Brewery Co Ltd,27,14
297,Thomas Caffrey Brewing Co.,2,2
298,Coniston Brewing Co. Ltd,6,3
301,Sociedade Central de Cervejas,12,5
302,Genesee Brewing Co. / Dundee Brewing Co.,37,22
303,Bud&#283;jovický M&#283;&#357;anský Pivovar,9,3
304,Brewery Budweiser Budvar / B.B.N.P.,9,4
306,Coors Brewing Company,32,17
307,"Kinsale Brewing Company,",2,2
309,Brasserie Duyck,15,5
313,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),5,4
314,"Yuksom Breweries, Ltd.",6,2
318,Castello Di Udine S.p.A.,13,4
319,Brau Union Österreich AG,19,10
320,Hamm's Brewing Co.,3,2
321,Brasserie d'Achouffe,15,9
322,Brouwerij Smisje,29,12
323,Harviestoun Brewery Ltd.,40,15
324,Falstaff Brewing Company,1,1
335,New Holland Brewing Company,90,48
337,Saint Arnold Brewing Company,33,25
338,Andrew's Brewing Co.,6,4
339,Flying Fish Brewing Company,31,21
341,Columbus Brewing Company,58,34
342,The Caledonian Brewery Company Limited,27,11
343,"Jasper Murdock’s Alehouse, Dining Room & Microbrewery",19,16
345,Victory Brewing Company,122,48
347,Bar Harbor Brewing Company,8,7
348,Jack Russell's Steak House / Maine Coast Brewing Co.,12,11
350,Coeur d'Alene Brewing Co.,18,17
351,Steam Plant Grill,13,12
352,J.C.& R.H.Palmer Ltd.,2,2
353,"Carlton & United Breweries, Ltd.",44,12
354,Carolina Beer Company,28,17
355,San Miguel Corporation,12,6
356,Kross Brewing Company,3,2
